pref,depression
7,0.97029702970297
38,0.941176470588235
37,0.755555555555556
23,0.92280701754386
13,0.794805194805195
1,0.837837837837838
27,0.90251572327044
15,1.1969696969697
35,1.05813953488372
33,0.856164383561644
43,0.865853658536585
42,1.11111111111111
12,0.83969465648855
28,0.896373056994819
26,0.715909090909091
30,0.928571428571429
40,0.867857142857143
11,0.894736842105263
2,0.826086956521739
32,0.955555555555556
20,0.770833333333333
25,0.72093023255814
14,0.917695473251029
39,1.11940298507463
34,0.987068965517241
46,0.591836734693878
5,0.76271186440678
4,0.822335025380711
31,0.886363636363636
36,1.16279069767442
8,0.605263157894737
3,1.11111111111111
45,0.790697674418605
24,0.722222222222222
41,0.709677419354839
44,1.04545454545455
6,1.11290322580645
47,0.553191489361702
22,0.964912280701754
29,1.0377358490566
16,0.930232558139535
21,0.615384615384615
18,0.916666666666667
10,1.26923076923077
9,0.5
17,0.790697674418605
19,0.739130434782609
