,pref,sex,tot_pop
1,-,男,61797907.0
4,01,男,2471013.0
7,02,男,597036.0
10,03,男,588436.0
13,04,男,1113109.0
16,05,男,458937.0
19,06,男,517251.0
22,07,男,914498.0
25,08,男,1458519.0
28,09,男,978577.0
31,10,男,971459.0
34,11,男,3696693.0
37,12,男,3153052.0
40,13,男,6805319.0
43,14,男,4597371.0
46,15,男,1075668.0
49,16,男,509223.0
52,17,男,549362.0
55,18,男,376740.0
58,19,男,402993.0
61,20,男,1013022.0
64,21,男,983307.0
67,22,男,1823189.0
70,23,男,3786852.0
73,24,男,882675.0
76,25,男,701072.0
79,26,男,1212541.0
82,27,男,4261993.0
85,28,男,2646646.0
88,29,男,638190.0
91,30,男,447493.0
94,31,男,266681.0
97,32,男,323755.0
100,33,男,915535.0
103,34,男,1366170.0
106,35,男,645033.0
109,36,男,351726.0
112,37,男,471476.0
115,38,男,644546.0
118,39,男,331622.0
121,40,男,2438939.0
124,41,男,389236.0
127,42,男,630044.0
130,43,男,834752.0
133,44,男,543747.0
136,45,男,514993.0
139,46,男,764241.0
142,47,男,733175.0
