,pref,suicide_rate_2020
6,0,16.44433
7,1,17.55964
8,2,20.06611
9,3,21.44851
10,4,18.05979
11,5,19.2812
12,6,17.27808
13,7,19.39446
14,8,15.98529
15,9,16.5351
16,10,18.43164
17,11,16.2651
18,12,16.53541
19,13,15.91624
20,14,14.30054
21,15,19.31985
22,16,20.54926
23,17,15.1806
24,18,16.15275
25,19,15.84845
26,20,16.00148
27,21,15.74424
28,22,16.42149
29,23,16.03848
30,24,17.58681
31,25,15.90487
32,26,13.78688
33,27,16.19276
34,28,15.87511
35,29,14.84669
36,30,17.18613
37,31,13.89941
38,32,18.10624
39,33,13.71067
40,34,15.03436
41,35,16.27877
42,36,14.68004
43,37,15.69379
44,38,17.09113
45,39,17.06076
46,40,17.2325
47,41,14.08092
48,42,15.69476
49,43,16.15929
50,44,16.15665
51,45,20.16602
52,46,18.09654
53,47,14.03938
54,99,0
