,pref,suicide_rate_male_2020
6,0,22.4289
7,1,22.42198
8,2,29.94681
9,3,29.08316
10,4,24.77836
11,5,28.79578
12,6,24.68314
13,7,29.67285
14,8,21.70976
15,9,23.08813
16,10,24.47444
17,11,21.66646
18,12,21.05853
19,13,20.51342
20,14,18.3926
21,15,25.96119
22,16,29.44589
23,17,22.61948
24,18,23.21036
25,19,21.9493
26,20,21.76272
27,21,21.20086
28,22,22.62868
29,23,21.53579
30,24,23.17964
31,25,20.65298
32,26,18.76808
33,27,21.15086
34,28,22.14072
35,29,19.60068
36,30,25.89441
37,31,23.08222
38,32,28.79981
39,33,20.00074
40,34,19.667
41,35,23.02909
42,36,20.00648
43,37,23.36242
44,38,24.61107
45,39,26.56177
46,40,24.25124
47,41,22.72849
48,42,23.40181
49,43,25.01423
50,44,23.92039
51,45,28.33134
52,46,28.33204
53,47,21.20006
54,99,0
